# Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
17,monday,adult,unknown,junior high,employee,experienced,car,owner,old,unknown,other,undivided,tangent flat,crossing,asphalt,wet,daylight,normal,vehicle,2,2,straight,pedestrian,female,senior,2,employee,normal,unknown,pedestrian violation,slight
17,monday,adult,male,high school,employee,experienced,bus,organization,used,unknown,industrial,twoway broken lines,tangent flat,crossing,asphalt,wet,daylight,normal,rollover,2,2,straight,pedestrian,male,minor,3,unknown,unknown,unknown,distance,slight
17,thursday,young,male,junior high,employee,experienced,unknown,owner,unknown,no,residential,double carriageway,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,4,straight,unknown,unknown,unknown,unknown,employee,normal,none,priority violation,slight
17,thursday,adult,male,junior high,employee,veteran,car,governmental,aged,no,other,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,4,straight,unknown,unknown,unknown,unknown,employee,normal,none,other,slight
17,thursday,adult,male,junior high,unknown,junior,truck,owner,unknown,no,office,twoway broken lines,tangent flat,y shape,gravel,dry,daylight,normal,vehicle,2,4,straight,driver,male,young,3,employee,normal,none,careless,slight
17,thursday,adult,male,junior high,employee,intermediate,unknown,owner,unknown,no,industrial,unknown,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,4,straight,unknown,unknown,unknown,unknown,driver,normal,none,lane change left,slight
17,friday,young,male,junior high,employee,junior,bus,owner,recent,no,industrial,double carriageway,tangent flat,other,asphalt,dry,daylight,normal,vehicle,3,3,straight,driver,female,young,3,driver,normal,none,careless,slight
17,friday,minor,male,unknown,unknown,unknown,unknown,owner,unknown,no,other,twoway broken lines,tangent flat,other,asphalt,dry,daylight,normal,roadside object,3,3,straight,unknown,unknown,unknown,unknown,student,normal,none,lane change left,slight
17,friday,young,male,elementary,employee,experienced,bus,organization,aged,unknown,hospital,twoway broken lines,tangent flat,other,asphalt,dry,daylight,normal,vehicle,3,3,straight,driver,male,young,3,driver,normal,none,priority violation,slight
11,sunday,senior,male,junior high,employee,experienced,bus,owner,unknown,unknown,office,oneway,tangent flat,crossing,dirt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,distance,slight
11,sunday,adult,male,junior high,employee,veteran,car,owner,used,no,church,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,roadside object,2,1,straight,driver,male,adult,3,unknown,unknown,none,lane change right,slight
22,sunday,unknown,female,junior high,employee,intermediate,unknown,organization,old,no,hospital,undivided,tangent mountain,no junction,asphalt,dry,lights,normal,roadside object,3,4,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,lane change right,slight
22,sunday,senior,male,junior high,owner,veteran,car,owner,aged,no,office,other,tangent flat,no junction,unknown,dry,lights,normal,vehicle,3,4,straight,unknown,unknown,unknown,unknown,driver,normal,none,high speed,slight
22,sunday,senior,male,junior high,employee,intermediate,truck,owner,used,no,other,twoway broken lines,escarpment,no junction,gravel,dry,lights,normal,vehicle,3,4,straight,driver,male,senior,3,driver,normal,none,distance,slight
22,sunday,minor,male,elementary,other,experienced,bus,owner,recent,unknown,office,undivided,tangent flat,no junction,asphalt,dry,lights,normal,vehicle,3,4,straight,driver,male,minor,3,driver,normal,none,lane change right,slight
22,sunday,minor,male,elementary,employee,experienced,truck,owner,used,unknown,office,twoway broken lines,tangent mountain,no junction,unknown,dry,lights,normal,vehicle,3,4,straight,passenger,male,minor,2,driver,normal,none,lane change left,slight
3,sunday,adult,male,junior high,unknown,experienced,car,owner,unknown,no,other,double carriageway,downhill,no junction,asphalt,dry,lights,normal,roadside object,1,1,straight,passenger,male,minor,3,unknown,unknown,none,improper exit,serious
23,monday,young,male,junior high,employee,experienced,car,owner,recent,no,office,undivided,tangent grade,y shape,dirt,dry,lights,normal,vehicle,2,2,straight,unknown,unknown,unknown,unknown,driver,normal,none,other,slight
23,monday,young,male,elementary,employee,veteran,car,owner,unknown,no,residential,undivided,tangent flat,y shape,asphalt,dry,lights,normal,vehicle,2,2,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,other,slight
12,monday,adult,unknown,junior high,unknown,novice,threewheeler,owner,unknown,unknown,other,twoway broken lines,tangent flat,no junction,asphalt,wet,daylight,raining,vehicle,2,2,rollover,driver,male,minor,3,self-employed,normal,none,distance,slight
12,monday,young,male,junior high,employee,experienced,bus,owner,used,unknown,office,double carriageway,tangent flat,no junction,asphalt,wet,daylight,raining,vehicle,2,2,backward,driver,male,young,3,self-employed,normal,none,priority violation,slight
11,wednesday,senior,male,elementary,employee,junior,truck,owner,old,unknown,office,undivided,tangent mountain,crossing,asphalt,dry,daylight,normal,vehicle,2,2,backward,driver,male,adult,3,driver,normal,none,overtaking,slight
11,wednesday,adult,male,junior high,employee,veteran,unknown,owner,old,no,other,twoway broken lines,tangent grade,crossing,dirt,dry,daylight,normal,roadside object,2,2,backward,unknown,unknown,unknown,unknown,unknown,unknown,none,distance,slight
13,tuesday,adult,male,high school,owner,intermediate,car,owner,unknown,no,church,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,male,senior,3,self-employed,normal,none,lane change right,slight
13,tuesday,young,male,junior high,employee,junior,truck,owner,unknown,no,industrial,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,pedestrian,2,1,straight,pedestrian,female,minor,1,other,normal,unknown,careless,slight
17,monday,young,unknown,junior high,employee,junior,truck,owner,recent,no,office,double carriageway,tangent flat,crossing,asphalt,dry,daylight,normal,roadside object,2,1,straight,pedestrian,male,minor,3,unknown,unknown,unknown,lane change right,slight
17,monday,adult,male,higher education,owner,intermediate,pickup,owner,unknown,no,church,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,roadside object,2,1,straight,driver,female,adult,3,unknown,unknown,none,overtaking,slight
8,monday,adult,male,unknown,unknown,unknown,truck,owner,unknown,unknown,office,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,male,senior,3,driver,normal,none,other,serious
8,monday,adult,male,elementary,owner,intermediate,car,owner,unknown,no,office,other,tangent flat,no junction,asphalt,dry,daylight,normal,rollover,2,1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,none,lane violation,serious
20,saturday,adult,male,junior high,employee,junior,other,owner,unknown,unknown,residential,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,3,2,straight,driver,male,young,3,driver,normal,none,high speed,slight
20,saturday,young,male,unknown,owner,experienced,other,owner,old,unknown,office,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,3,2,unknown,driver,male,young,2,driver,normal,none,unknown,slight
20,saturday,young,male,junior high,employee,novice,truck,owner,old,unknown,residential,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,3,2,straight,passenger,female,young,2,driver,normal,none,lane change right,slight
7,monday,adult,male,junior high,employee,intermediate,unknown,owner,used,unknown,office,double carriageway,tangent flat,y shape,asphalt,wet,daylight,raining,vehicle,2,2,backward,passenger,female,minor,1,driver,normal,none,distance,slight
7,monday,adult,male,junior high,employee,experienced,car,owner,used,no,office,double carriageway,tangent flat,y shape,asphalt,wet,daylight,raining,vehicle,2,2,straight,driver,male,young,3,self-employed,normal,none,other,slight
17,friday,adult,male,junior high,employee,veteran,truck,unknown,unknown,no,other,twoway broken lines,tangent flat,no junction,dirt,dry,daylight,normal,vehicle,2,1,straight,pedestrian,female,adult,3,self-employed,normal,unknown,priority violation,serious
17,friday,young,male,elementary,employee,intermediate,other,owner,unknown,no,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,backward,pedestrian,male,senior,3,driver,normal,none,lane change left,serious
7,friday,young,male,elementary,owner,veteran,truck,owner,aged,no,residential,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,2,straight,unknown,unknown,unknown,unknown,driver,normal,none,pedestrian violation,slight
7,friday,adult,unknown,junior high,employee,junior,car,owner,unknown,unknown,church,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,roadside object,2,2,rollover,driver,male,adult,3,unknown,unknown,none,overtaking,slight
7,friday,adult,male,junior high,employee,experienced,pickup,governmental,unknown,no,church,double carriageway,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,2,straight,driver,female,senior,3,driver,normal,none,careless,slight
23,friday,unknown,female,junior high,employee,intermediate,truck,owner,used,no,residential,double carriageway,tangent flat,no junction,other,dry,lights,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,priority violation,slight
23,friday,adult,male,junior high,employee,intermediate,bus,owner,unknown,no,office,twoway broken lines,tangent grade,no junction,gravel,dry,lights,normal,vehicle,2,1,unknown,unknown,unknown,unknown,unknown,driver,normal,none,pedestrian violation,slight
9,thursday,adult,male,junior high,employee,intermediate,truck,owner,old,no,office,twoway broken lines,tangent grade,no junction,gravel,dry,daylight,normal,vehicle,2,1,straight,driver,male,senior,2,unknown,normal,none,lane change right,slight
9,thursday,senior,male,junior high,employee,intermediate,car,owner,used,unknown,residential,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,pedestrian,2,1,straight,driver,female,young,3,unknown,unknown,none,backward,slight
17,saturday,adult,male,junior high,employee,veteran,car,owner,old,unknown,church,other,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,1,1,straight,driver,male,minor,3,driver,normal,none,overtaking,slight
17,tuesday,young,male,junior high,employee,veteran,other,owner,unknown,unknown,other,twoway broken lines,tangent flat,y shape,dirt,dry,daylight,normal,vehicle,2,1,straight,driver,female,adult,3,driver,normal,none,lane change left,slight
17,tuesday,adult,male,elementary,employee,experienced,unknown,owner,unknown,unknown,office,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,backward,unknown,unknown,unknown,unknown,self-employed,normal,none,lane change right,slight
13,thursday,young,male,unknown,employee,unknown,truck,owner,unknown,unknown,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,overtaking,slight
13,thursday,senior,male,unknown,employee,intermediate,bus,owner,unknown,unknown,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,backward,driver,male,adult,3,driver,normal,none,overloading,slight
10,tuesday,adult,male,elementary,employee,experienced,bus,owner,unknown,unknown,unknown,unknown,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,1,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,other,serious
14,wednesday,young,unknown,junior high,employee,experienced,other,governmental,used,unknown,residential,twoway broken lines,unknown,y shape,dirt,dry,daylight,normal,roadside object,2,1,straight,driver,male,adult,3,unknown,unknown,none,priority violation,slight
14,wednesday,senior,male,junior high,employee,veteran,other,owner,new,unknown,church,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,female,adult,3,driver,normal,none,lane change right,slight
16,tuesday,young,unknown,junior high,employee,experienced,other,unknown,unknown,unknown,other,undivided,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,female,young,3,driver,normal,none,backward,slight
16,tuesday,adult,male,junior high,employee,veteran,bus,owner,unknown,unknown,other,oneway,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,lane change left,slight
12,thursday,young,male,elementary,employee,novice,truck,owner,unknown,no,residential,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,rollover,driver,male,senior,3,unknown,normal,none,pedestrian violation,slight
12,thursday,adult,male,elementary,employee,experienced,other,owner,unknown,unknown,office,oneway,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,distance,slight
16,tuesday,adult,male,elementary,employee,junior,bus,owner,unknown,no,industrial,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,male,young,3,driver,normal,none,priority violation,slight
16,tuesday,senior,male,elementary,employee,experienced,other,governmental,unknown,no,residential,double carriageway,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,backward,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
17,wednesday,young,male,elementary,employee,experienced,truck,owner,unknown,no,office,unknown,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,1,1,straight,pedestrian,male,adult,3,driver,normal,unknown,distance,serious
15,wednesday,senior,male,elementary,employee,intermediate,other,owner,used,unknown,other,unknown,tangent flat,no junction,asphalt,dry,daylight,normal,rollover,1,1,straight,pedestrian,male,young,2,unknown,unknown,none,backward,slight
9,friday,senior,male,elementary,employee,experienced,other,owner,unknown,unknown,church,other,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,1,1,straight,passenger,female,young,3,driver,normal,none,lane change right,slight
8,tuesday,adult,male,unknown,unknown,experienced,other,owner,aged,unknown,industrial,unknown,tangent flat,no junction,dirt,dry,daylight,normal,vehicle,2,3,other,unknown,unknown,unknown,unknown,self-employed,normal,none,pedestrian violation,slight
8,tuesday,adult,male,junior high,employee,veteran,pickup,owner,unknown,no,recreational,oneway,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,3,straight,driver,male,young,3,self-employed,normal,none,backward,slight
7,thursday,young,male,elementary,employee,novice,other,owner,unknown,no,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,4,rollover,driver,male,minor,3,unknown,normal,none,overtaking,slight
7,thursday,young,male,elementary,employee,experienced,truck,owner,unknown,unknown,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,4,backward,unknown,unknown,unknown,unknown,driver,normal,none,overloading,slight
7,thursday,young,male,elementary,owner,experienced,bus,owner,unknown,no,industrial,twoway broken lines,unknown,no junction,dirt,dry,daylight,normal,vehicle,2,4,straight,pedestrian,male,young,3,driver,normal,none,lane change right,slight
7,thursday,adult,male,elementary,employee,intermediate,car,governmental,used,unknown,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,roadside object,2,4,straight,driver,male,senior,3,unknown,unknown,none,parking violation,slight
19,monday,young,unknown,elementary,employee,veteran,pickup,governmental,unknown,unknown,office,other,tangent flat,crossing,asphalt,wet,daylight,raining,vehicle,1,1,straight,driver,female,young,3,driver,normal,none,other,slight
19,wednesday,young,male,elementary,employee,intermediate,truck,owner,unknown,unknown,unknown,other,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,1,1,backward,passenger,female,senior,3,self-employed,normal,none,lane change left,serious
17,friday,adult,male,junior high,employee,veteran,bus,owner,unknown,unknown,office,twoway broken lines,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,6,straight,passenger,female,minor,3,self-employed,normal,none,lane change right,slight
17,friday,adult,male,junior high,employee,novice,other,owner,unknown,unknown,office,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,6,straight,driver,male,adult,2,self-employed,normal,none,pedestrian violation,slight
17,friday,adult,male,elementary,employee,experienced,pickup,governmental,used,unknown,other,other,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,6,parked,pedestrian,female,senior,2,self-employed,normal,unknown,lane change left,slight
17,friday,adult,male,elementary,employee,experienced,other,owner,unknown,no,other,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,6,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,priority violation,slight
17,friday,young,male,elementary,employee,junior,truck,owner,aged,unknown,other,other,tangent flat,crossing,other,dry,daylight,normal,vehicle,2,6,straight,driver,male,minor,3,driver,deaf,none,lane change right,slight
13,saturday,adult,male,elementary,employee,unknown,horse,unknown,unknown,unknown,residential,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,unknown,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
13,saturday,young,male,junior high,employee,junior,car,owner,used,no,church,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,female,young,3,self-employed,normal,none,pedestrian violation,slight
17,friday,young,male,unknown,employee,experienced,car,owner,used,unknown,office,double carriageway,tangent flat,crossing,asphalt,dry,daylight,normal,pedestrian,2,1,straight,passenger,female,adult,3,self-employed,normal,none,distance,serious
17,friday,adult,male,elementary,owner,junior,car,owner,used,unknown,church,other,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,stopping,driver,male,young,3,driver,normal,none,priority violation,serious
9,wednesday,young,male,junior high,employee,experienced,other,owner,used,unknown,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,male,young,3,driver,normal,none,other,slight
9,wednesday,adult,male,junior high,employee,intermediate,truck,owner,unknown,unknown,unknown,other,tangent flat,no junction,asphalt,dry,daylight,normal,roadside object,2,1,overtaking,pedestrian,male,minor,2,unknown,unknown,unknown,careless,slight
16,friday,young,male,junior high,employee,intermediate,truck,owner,recent,unknown,school,other,downhill,crossing,asphalt,wet,daylight,raining,vehicle,2,1,straight,driver,male,young,3,driver,normal,none,lane change left,slight
16,friday,minor,male,junior high,employee,experienced,truck,owner,old,unknown,office,twoway broken lines,tangent grade,crossing,dirt,wet,daylight,raining,vehicle,2,1,backward,unknown,unknown,unknown,unknown,driver,normal,none,careless,slight
22,thursday,young,male,junior high,owner,novice,car,owner,new,unknown,other,other,downhill,no junction,asphalt,dry,darkness,normal,pedestrian,1,2,straight,pedestrian,male,minor,2,student,normal,none,lane change left,serious
22,thursday,young,male,high school,employee,novice,bus,owner,unknown,unknown,office,undivided,tangent flat,no junction,asphalt,dry,darkness,normal,vehicle,1,2,straight,driver,male,minor,3,employee,normal,none,priority violation,serious
14,thursday,young,male,junior high,employee,unknown,car,owner,unknown,unknown,other,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,3,1,unknown,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
14,thursday,young,male,junior high,employee,intermediate,truck,owner,unknown,unknown,office,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,pedestrian,3,1,backward,unknown,unknown,unknown,unknown,unknown,normal,none,lane change right,slight
17,wednesday,senior,male,junior high,employee,intermediate,car,owner,unknown,no,other,double carriageway,tangent flat,no junction,asphalt,dry,daylight,normal,pedestrian,2,1,straight,driver,male,senior,3,unknown,unknown,none,high speed,slight
17,wednesday,senior,female,junior high,employee,experienced,truck,owner,unknown,unknown,church,other,tangent flat,no junction,asphalt,dry,daylight,normal,roadside object,2,1,backward,pedestrian,female,adult,3,unknown,unknown,unknown,distance,slight
14,thursday,senior,male,elementary,employee,experienced,truck,owner,unknown,no,office,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,other,vehicle,2,4,straight,driver,female,young,3,employee,unknown,none,lane change right,slight
14,thursday,senior,male,unknown,owner,experienced,pickup,owner,aged,no,office,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,other,vehicle,2,4,straight,unknown,unknown,unknown,unknown,driver,unknown,none,lane change left,slight
14,thursday,minor,male,junior high,employee,experienced,other,owner,used,unknown,other,undivided,tangent mountain,y shape,asphalt,dry,daylight,other,vehicle,2,4,unknown,unknown,unknown,unknown,unknown,driver,unknown,none,improper exit,slight
14,thursday,minor,male,junior high,owner,experienced,car,owner,used,unknown,residential,undivided,tangent flat,y shape,asphalt,dry,daylight,other,vehicle,2,4,straight,driver,male,adult,2,driver,unknown,none,other,slight
16,wednesday,unknown,female,illiterate,employee,intermediate,car,owner,unknown,no,residential,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,male,young,2,self-employed,normal,none,other,slight
16,wednesday,young,male,junior high,employee,experienced,truck,owner,old,yes,unknown,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,distance,slight
20,thursday,young,male,junior high,employee,novice,threewheeler,owner,unknown,yes,other,other,tangent flat,y shape,asphalt,dry,lights,normal,pedestrian,2,2,rollover,unknown,unknown,unknown,unknown,other,normal,none,priority violation,serious
20,thursday,minor,male,junior high,employee,junior,car,owner,unknown,no,office,unknown,downhill,y shape,asphalt,dry,lights,normal,roadside object,2,2,straight,driver,male,young,2,unknown,unknown,none,overtaking,serious
10,monday,senior,male,elementary,employee,intermediate,truck,governmental,unknown,no,school,double carriageway,tangent flat,o shape,dirt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,pedestrian violation,serious
10,monday,senior,male,elementary,employee,intermediate,truck,owner,unknown,no,other,twoway broken lines,downhill,o shape,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,female,adult,3,self-employed,normal,none,distance,serious
20,saturday,adult,male,elementary,employee,experienced,truck,owner,old,no,other,twoway broken lines,tangent rolling,y shape,unknown,dry,daylight,normal,vehicle,2,1,backward,passenger,male,minor,3,self-employed,normal,none,lane change right,slight
20,saturday,minor,male,junior high,employee,experienced,car,governmental,unknown,no,church,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,1,exiting,driver,female,young,3,self-employed,normal,none,careless,slight
16,saturday,adult,male,junior high,employee,veteran,car,owner,unknown,unknown,other,twoway broken lines,tangent grade,crossing,asphalt,dry,daylight,normal,vehicle,2,1,exiting,unknown,unknown,unknown,unknown,driver,blind,none,overtaking,slight
9,friday,adult,male,junior high,employee,veteran,bus,governmental,unknown,no,residential,double carriageway,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,3,straight,driver,male,minor,3,driver,normal,none,other,slight
9,friday,adult,male,junior high,owner,veteran,bus,owner,unknown,unknown,office,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,3,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,lane violation,slight
9,friday,adult,male,junior high,employee,unknown,other,owner,unknown,unknown,office,undivided,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,3,straight,driver,female,senior,3,driver,normal,none,high speed,slight
9,friday,senior,male,junior high,employee,experienced,car,owner,new,unknown,office,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,vehicle,2,3,straight,unknown,unknown,unknown,unknown,driver,normal,none,unknown,slight
16,sunday,adult,male,junior high,employee,intermediate,car,organization,recent,unknown,church,unknown,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,3,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,lane change right,slight
16,sunday,adult,male,elementary,employee,experienced,bus,owner,unknown,unknown,office,twoway broken lines,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,3,1,straight,driver,female,minor,2,driver,normal,none,distance,slight
16,sunday,adult,male,junior high,employee,intermediate,bus,owner,recent,unknown,office,twoway broken lines,tangent grade,crossing,gravel,dry,daylight,normal,vehicle,3,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,other,slight
13,thursday,young,male,high school,owner,experienced,car,owner,unknown,unknown,office,twoway broken lines,tangent grade,crossing,asphalt,dry,daylight,normal,vehicle,2,2,straight,driver,male,adult,2,driver,normal,none,priority violation,slight
13,thursday,adult,unknown,junior high,employee,veteran,other,owner,old,no,office,twoway broken lines,tangent flat,crossing,asphalt,dry,daylight,normal,pedestrian,2,2,straight,driver,male,senior,2,unknown,normal,none,lane change left,slight
8,wednesday,young,male,junior high,employee,intermediate,pickup,owner,unknown,no,other,twoway broken lines,tangent flat,no junction,asphalt,wet,daylight,normal,roadside object,3,2,backward,unknown,unknown,unknown,unknown,employee,normal,none,pedestrian violation,serious
8,wednesday,young,male,elementary,employee,intermediate,truck,owner,unknown,no,residential,double carriageway,tangent flat,no junction,asphalt,wet,daylight,normal,roadside object,3,2,straight,driver,female,adult,2,unknown,unknown,none,overtaking,serious
8,wednesday,adult,male,high school,owner,veteran,car,owner,unknown,no,church,undivided,tangent flat,no junction,asphalt,wet,daylight,normal,vehicle,3,2,straight,pedestrian,male,minor,2,driver,normal,nearside crossing,careless,serious
14,tuesday,young,male,elementary,employee,junior,car,owner,unknown,no,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,priority violation,slight
14,tuesday,young,male,junior high,employee,veteran,truck,owner,unknown,no,recreational,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,driver,female,adult,3,self-employed,normal,none,pedestrian violation,slight
14,wednesday,adult,male,junior high,owner,experienced,other,owner,unknown,no,industrial,undivided,tangent grade,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,self-employed,normal,none,careless,slight
9,sunday,young,male,higher education,employee,experienced,car,owner,unknown,no,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,roadside object,3,1,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,lane change right,slight
9,sunday,young,male,junior high,employee,experienced,car,owner,unknown,unknown,other,other,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,3,1,straight,driver,male,adult,3,self-employed,normal,none,lane change right,slight
9,sunday,young,male,junior high,employee,veteran,car,owner,old,no,church,other,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,3,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,lane change left,slight
10,tuesday,senior,male,junior high,employee,junior,car,owner,old,no,church,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,1,1,straight,driver,male,adult,3,self-employed,normal,none,rollover,serious
14,saturday,young,male,junior high,employee,intermediate,truck,owner,unknown,no,other,twoway broken lines,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,passenger,male,minor,3,self-employed,normal,none,careless,slight
14,saturday,young,male,junior high,employee,novice,other,owner,unknown,no,other,oneway,tangent flat,no junction,asphalt,dry,daylight,normal,vehicle,2,1,straight,passenger,female,minor,3,self-employed,normal,none,distance,slight
11,saturday,young,male,junior high,employee,veteran,pickup,governmental,used,unknown,recreational,twoway broken lines,tangent flat,crossing,asphalt,dry,daylight,normal,vehicle,2,1,straight,unknown,unknown,unknown,unknown,driver,normal,none,careless,slight
11,saturday,senior,male,junior high,employee,junior,car,owner,used,unknown,other,undivided,tangent flat,crossing,asphalt,dry,daylight,normal,pedestrian,2,1,straight,driver,male,young,2,employee,normal,none,lane change left,slight
12,sunday,young,male,higher education,employee,experienced,other,owner,old,unknown,office,undivided,tangent flat,no junction,other,dry,daylight,normal,pedestrian,1,1,straight,pedestrian,male,young,2,unknown,normal,none,priority violation,serious
16,friday,young,male,junior high,employee,experienced,pickup,owner,old,no,church,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,roadside object,2,1,straight,unknown,unknown,unknown,unknown,unknown,unknown,none,lane change right,slight
16,friday,adult,unknown,elementary,owner,novice,car,owner,used,unknown,office,twoway broken lines,tangent flat,y shape,asphalt,dry,daylight,normal,pedestrian,2,1,straight,driver,female,senior,3,unknown,unknown,none,distance,slight
13,friday,young,male,unknown,unknown,unknown,truck,unknown,unknown,no,office,undivided,tangent mountain,crossing,asphalt,wet,daylight,normal,vehicle,2,2,backward,passenger,male,senior,3,unknown,unknown,none,backward,slight
